URG;Escola;Vacina;2022;2023;2024;2025;Total
URG I-CENTRO;E M CAPISTRANO DE ABREU;HPV - VÍRUS DO PAPILOMA HUMANO;0;13;1;8;22
URG I-CENTRO;E M CAPISTRANO DE ABREU;MENINGOCÓCICA ACWY;0;4;0;3;7
URG I-CENTRO;E M CAPISTRANO DE ABREU;FEBRE AMARELA;0;4;0;3;7
URG I-CENTRO;E M CAPISTRANO DE ABREU;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;DTP - TRÍPLICE BACTERIANA;0;4;0;2;6
URG I-CENTRO;E M CAPISTRANO DE ABREU;HEPATITE A;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;HEPATITE B;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;DT - DIFTERIA E TÉTANO;0;1;0;0;1
URG I-CENTRO;E M CAPISTRANO DE ABREU;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;VOP (ORAL) - POLIOMELITE;0;2;0;0;2
URG I-CENTRO;E M CAPISTRANO DE ABREU;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;PENTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;TRÍPLICE VIRAL;0;0;0;1;1
URG I-CENTRO;E M CAPISTRANO DE ABREU;INFLUENZA;0;27;11;31;69
URG I-CENTRO;E M CAPISTRANO DE ABREU;COVID PFIZER;0;1;0;0;1
URG I-CENTRO;E M CAPISTRANO DE ABREU;COVID CORONAVAC;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;COVID COMINARTY INFANTIL;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;VARICELA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;Q-DENGA;0;0;4;0;4
URG I-CENTRO;E M CAPISTRANO DE ABREU;XBB;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;TETRAVIRAL;0;0;9;2;11
URG I-CENTRO;E M CAPISTRANO DE ABREU;ACWY;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;HPV - VÍRUS DO PAPILOMA HUMANO;0;22;6;11;39
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;MENINGOCÓCICA ACWY;0;7;3;8;18
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;FEBRE AMARELA;0;3;2;8;13
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;DTP - TRÍPLICE BACTERIANA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;HEPATITE A;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;HEPATITE B;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;DT - DIFTERIA E TÉTANO;0;2;0;0;2
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;VOP (ORAL) - POLIOMELITE;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;PENTA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;TRÍPLICE VIRAL;0;0;0;0;0
