Ano;IdUrg;URG;Escola;Tipo;Nutricao;Qtd
2025;1;URG I-CENTRO;E M MANOEL JOAO GONCALVES;EM;MAGREZA ACENTUADA;2
2025;1;URG I-CENTRO;E M MANOEL JOAO GONCALVES;EM;NORMAL (EUTROFIA);85
2025;1;URG I-CENTRO;E M MANOEL JOAO GONCALVES;EM;OBESIDADE;29
2025;1;URG I-CENTRO;E M MANOEL JOAO GONCALVES;EM;SOBREPESO;22
2025;1;URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;EM;MAGREZA;7
2025;1;URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;EM;MAGREZA ACENTUADA;12
2025;1;URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;EM;NORMAL (EUTROFIA);181
2025;1;URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;EM;OBESIDADE;50
2025;1;URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;EM;SOBREPESO;38
2025;1;URG I-CENTRO;E M MENINOS DE DEUS;EM;MAGREZA;9
2025;1;URG I-CENTRO;E M MENINOS DE DEUS;EM;MAGREZA ACENTUADA;1
2025;1;URG I-CENTRO;E M MENINOS DE DEUS;EM;NORMAL (EUTROFIA);112
2025;1;URG I-CENTRO;E M MENINOS DE DEUS;EM;OBESIDADE;32
2025;1;URG I-CENTRO;E M MENINOS DE DEUS;EM;SOBREPESO;34
2025;1;URG I-CENTRO;E M MONTEIRO LOBATO;EM;MAGREZA;36
2025;1;URG I-CENTRO;E M MONTEIRO LOBATO;EM;MAGREZA ACENTUADA;10
2025;1;URG I-CENTRO;E M MONTEIRO LOBATO;EM;NORMAL (EUTROFIA);443
2025;1;URG I-CENTRO;E M MONTEIRO LOBATO;EM;OBESIDADE;98
2025;1;URG I-CENTRO;E M MONTEIRO LOBATO;EM;SOBREPESO;94
2025;1;URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;EM;MAGREZA;20
